Orgao Responsável,Título,Link,Tipo,Data de Publicação,Resultado
DIRCO,PROCESSO SELETIVO PARA CONTRATAÇÃO DE ESTAGIÁRIO (A) - DIRCO,http://www.editais.ufu.br/node/4092,Estágio UFU,08/02/2018,Não Publ.
CTI,PROCESSO SELETIVO PARA CONTRATAÇÃO DE ESTAGIÁRIO (A) - CTI,http://www.editais.ufu.br/node/4093,Estágio UFU,08/02/2018,Não Publ.
UFU/SISBI,EDITAL 003/ 2018/ UFU/ SISBI,http://www.editais.ufu.br/node/4089,Estágio UFU,07/02/2018,Não Publ.
UFU/FAGEN,EDITAL 002/2018/UFU/FAGEN - Processo Seletivo para Estagiário,http://www.editais.ufu.br/node/4072,Estágio UFU,11/01/2018,Não Publ.
ICBIM/UFU,EDITAL 001/2018/UFU/ICBIM - Processo Seletivo para Estagiário,http://www.editais.ufu.br/node/4071,Estágio UFU,10/01/2018,Não Publ.
ESAJUP,057/2017/UFU/ESAJUP,http://www.editais.ufu.br/node/4065,Estágio UFU,21/12/2017,Não Publ.
EDUFU/UFU,Edital EDUFU/UFU/063/2017,http://www.editais.ufu.br/node/4059,Estágio UFU,07/12/2017,Não Publ.
NUTESES/UFU,EDITAL 059/2017 - NUTESES/UFU - PROCESSO SELETIVO PARA ESTAGIÁRIO(A),http://www.editais.ufu.br/node/4041,Estágio UFU,20/11/2017,Não Publ.
FAUED,EDITAL UFU/ FAUED/ 058/ 2017,http://www.editais.ufu.br/node/4035,Estágio UFU,15/11/2017,Não Publ.
PPCSA/FAMED,Edital de abertura das inscrições e do processo de seleção de alunos TURMA 2018 para ingresso ao Programa de Pós-Graduação em Ciências da Saúde (PPCSA),http://www.editais.ufu.br/node/4025,Mest./Dout./Especializ.,29/10/2017,Não Publ.
FECIV,EDITAL 056/2017 - FECIV/UFU,http://www.editais.ufu.br/node/4022,Estágio UFU,26/10/2017,Não Publ.
FACIP/UFU,EDITAL DE SELEÇÃO DE ALUNOS PARA INGRESSO NO PET Conexões de Saberes Populações do Campo e Saúde: Afirmações de Direitos (PET MAIS SAÚDE),http://www.editais.ufu.br/node/4017,Programa PET,25/10/2017,Não Publ.
HCU/UFU,EDITAL 041_2017_GDHS_PSICOLOGIA_GESTÃO DE DESENVOLVIMENTO HUMANO EM SAÚDE_HCU_UFU_PROCESSO SELETIVO PARA ESTÁGIO,http://www.editais.ufu.br/node/4018,Estágio UFU,25/10/2017,Não Publ.
ESEBA,EDITAL 054/2017 - ESEBA/UFU,http://www.editais.ufu.br/node/4015,Estágio UFU,24/10/2017,Não Publ.
HCU/UFU,EDITAL 042_2017_HCU_UFU_SERVIÇO SOCIAL_CAMPUS PONTAL_PROCESSO SELETIVO PARA ESTÁGIO OBRIGATÓRIO,http://www.editais.ufu.br/node/4014,Estágio UFU,23/10/2017,Não Publ.
FEELT/UFU,EDITAL DE SELEÇÃO – PET Engenharia Biomédica,http://www.editais.ufu.br/node/4004,Programa PET,17/10/2017,Não Publ.
INCIS/UFU,EDITAL DE SELEÇÃO DE ALUNOS PARA INGRESSO NO PET CIÊNCIAIS SOCIAIS,http://www.editais.ufu.br/node/3999,Programa PET,15/10/2017,Não Publ.
FACIP/UFU,Edital de seleção 2017/02 para ingresso de alunos no Programa de Educação Tutorial (PET) do curso de Geografia da FACIP-UFU,http://www.editais.ufu.br/node/3981,Programa PET,04/10/2017,Não Publ.
GDHS - HCU/UFU,Edital 038_2017_GDHS_PSICOLOGIA_HCU_UFU_Processo Seletivo para Estagiário (a),http://www.editais.ufu.br/node/3976,Estágio UFU,29/09/2017,Não Publ.
FACED,EDITAL DE SELEÇÃO DE ALUNOS PARA INGRESSO NO PET CONEXÕES DE SABERES EDUCOMUNICAÇÃO,http://www.editais.ufu.br/node/3934,Programa PET,25/09/2017,Não Publ.
PPGEA/FEQUI,Edital de abertura das inscrições e do processo de seleção 2018/1 para ingresso ao Programa de Pós-Graduação em Engenharia de Alimentos,http://www.editais.ufu.br/node/3927,Mest./Dout./Especializ.,19/09/2017,Não Publ.
FAMED,EDITAL 048/2017/FAMED/UFU PROCESSO SELETIVO PARA ESTAGIÁRIO (A),http://www.editais.ufu.br/node/3915,Estágio UFU,11/09/2017,Não Publ.
FACIP,EDITAL DE SELEÇÃO DE ALUNOS PARA INGRESSO NO PET Conexões de Saberes Populações do Campo e Saúde: Afirmações de Direitos (PET MAIS SAÚDE),http://www.editais.ufu.br/node/3911,Programa PET,08/09/2017,Não Publ.
ILEEL/CEaD,Edital 044_2017_ILEEL_CEaD_Laboratório Virtual_UFU_Processo Seletivo para Estagiário (a),http://www.editais.ufu.br/node/3896,Estágio UFU,30/08/2017,Não Publ.
ILEEL/Idioma sem fronteira,Edital 045_2017_ILEEL_Programa Idiomas Sem Fonteiras_UFU_Processo Seletivo para Estagiário (a),http://www.editais.ufu.br/node/3897,Estágio UFU,30/08/2017,Não Publ.
HCU/UFU,Edital 034_2017_Central de Monitoramento e Acesso_GDHS_HCU_UFU_Processo Seletivo para Estagiário (a),http://www.editais.ufu.br/node/3890,Estágio UFU,23/08/2017,Não Publ.
PROPP,Edital 043_2017_PROPP_UFU_Processo Seletivo para Estagiário (a),http://www.editais.ufu.br/node/3884,Estágio UFU,18/08/2017,Não Publ.
Eseba/Educação Especial,Edital 040_2017_ESEBA_Educação Especial_UFU_Processo Seletivo para Estagiário (a),http://www.editais.ufu.br/node/3876,Estágio UFU,14/08/2017,Não Publ.
ESEBA/Psicologia Escolar,Edital 041_2017_ESEBA_Psicologia Escolar_UFU_Processo Seletivo para Estagiário (a),http://www.editais.ufu.br/node/3877,Estágio UFU,14/08/2017,Não Publ.
ESEBA/Laboratório Informática,Edital 042_2017_ESEBA_Informática_UFU_Processo Seletivo para Estagiário (a),http://www.editais.ufu.br/node/3878,Estágio UFU,14/08/2017,Não Publ.
ICIAG,Processo Seletivo para Estagiário (a) Estudante dos Cursos de Administração ou Contábeis,http://www.editais.ufu.br/node/3870,Estágio UFU,04/08/2017,Não Publ.
RTU,Edital 002_2017_RTU_Processo Seletivo para Estagiário (a),http://www.editais.ufu.br/node/3862,Estágio UFU,27/07/2017,Não Publ.
CEaD/FACED,Edital 038_2017_CEaD_FACED_Processo Seletivo para Estagiário (a),http://www.editais.ufu.br/node/3858,Estágio UFU,25/07/2017,Não Publ.
PROPP,Edital 036_2017_PROPP_Agência Intelecto_UFU_Processo Seletivo para Estagiário (a),http://www.editais.ufu.br/node/3850,Estágio UFU,18/07/2017,Não Publ.
COPSIA/UFU,Edital 037_2017_COPSIA_UFU_Processo Seletivo para Estagiário (a),http://www.editais.ufu.br/node/3851,Estágio UFU,18/07/2017,Não Publ.
HCU,Edital 031_2017_CEPEPE_GTI_HCU_UFU_Processo Seletivo para Estagiário (a),http://www.editais.ufu.br/node/3841,Estágio UFU,07/07/2017,Não Publ.
HCU,Edital 029_2017_Física Médica_HCU_UFU_Processo Seletivo para Estagiário (a),http://www.editais.ufu.br/node/3836,Estágio UFU,05/07/2017,Não Publ.
HCU,Edital 027_2017_Engenharia Biomédica_HCU_UFU_Processo Seletivo para Estagiário (a),http://www.editais.ufu.br/node/3830,Estágio UFU,29/06/2017,Não Publ.
DIRAM,Edital UFU_DIRAM_034_2017_Processo Seletivo para Estagiário (a),http://www.editais.ufu.br/node/3821,Estágio UFU,23/06/2017,Não Publ.
ESTES,Processo Seletivo para Estagiário (a) - Edital 031/2017/ESTES,http://www.editais.ufu.br/node/3815,Estágio UFU,12/06/2017,Não Publ.
ESTES,Processo Seletivo para Estagiário (a) - Edital 032/2017/ESTES,http://www.editais.ufu.br/node/3816,Estágio UFU,12/06/2017,Não Publ.
ESTES,Processo Seletivo para Estagiário (a) - Edital 033/2017/ESTES,http://www.editais.ufu.br/node/3817,Estágio UFU,12/06/2017,Não Publ.
PROGRAD/DIREN,Inscrição para seleção de projetos para o Programa de Bolsas de Educação Profissional,http://www.editais.ufu.br/node/3778,Estágio UFU,17/05/2017,Não Publ.
PROGRAD/DIREN,Inscrição para seleção de projetos para o Programa de Bolsas de Graduação,http://www.editais.ufu.br/node/3779,Estágio UFU,17/05/2017,Não Publ.
GDHS - HCU/UFU,Processo Seletivo para Estagiário (a) - Hemodinâmica - GDHS/HCU,http://www.editais.ufu.br/node/3776,Estágio UFU,15/05/2017,Não Publ.
ICBIM,Processo Seletivo para Estagiário(a) Edital 026/ICBIM/2017,http://www.editais.ufu.br/node/3774,Estágio UFU,11/05/2017,Não Publ.
COPEL/FEELT,Edital do Programa de Pós-graduação em Engenharia Elétrica – edital 034/2017,http://www.editais.ufu.br/node/3766,Mest./Dout./Especializ.,05/05/2017,Não Publ.
Pet Engenharia Quimica,Edital de seleção de Discentes - PET-EQ UFU,http://www.editais.ufu.br/node/3760,Programa PET,28/04/2017,Não Publ.
ILEEL,Processo Seletivo para Estagiário (a) - Edital 024/2017/ILEEL/UFU,http://www.editais.ufu.br/node/3753,Estágio UFU,24/04/2017,Não Publ.
FAMAT,Processo Seletivo nº42 de bolsistas para PET - Matemática - Edital 001/2017,http://www.editais.ufu.br/node/3747,Programa PET,17/04/2017,Não Publ.
Instituto de Ciências Agrárias,Edital de seleção de bolsistas para o Programa de Educação Tutorial PET – AGRONOMIA 1º SEMESTRE DE 2017,http://www.editais.ufu.br/node/3744,Programa PET,07/04/2017,Não Publ.
Núcleo Brasileiro de Dissertações e Teses (NUTESES),Processo Seletivo para Estagiário(a) EDITAL 022/2017/NUTESES/UFU,http://www.editais.ufu.br/node/3731,Estágio UFU,03/04/2017,Não Publ.
FAMEV - Marcus Vinícius Coutinho Cossi,Edital 2017-1 de seleção para ingresso de alunos no Programa de Educação Tutorial (PET) do curso de Medicina Veterinária - UFU,http://www.editais.ufu.br/node/3732,Programa PET,03/04/2017,Não Publ.
Zootecnia/FAMEV-UFU,Edital de seleção 2017 para ingresso de alunos no Programa de Educação Tutorial (PET) do curso de Zootecnia/FAMEV,http://www.editais.ufu.br/node/3735,Programa PET,03/04/2017,Não Publ.
FEELT - Engenharia Biomédica - Profº. Adriano Alves Pereira,Edital de seleção de alunos para o Programa de Educação Tutorial (PET) da Engenharia Biomédica / FEELT,http://www.editais.ufu.br/node/3725,Programa PET,31/03/2017,Não Publ.
Geografia - Prof. Dr. Mirlei Fachini Vicente Pereira – Tutor PET Geografia,Seleção para ingresso ao Programa de Educação Tutorial (PET) do curso de Geografia,http://www.editais.ufu.br/node/3724,Programa PET,30/03/2017,Não Publ.
FAMED - Prof. Carlos Henrique Martins da Silva,Edital de abertura das inscrições e do processo de seleção para ingresso ao Programa de Educação Tutorial do Curso de Medicina (PET Medicina) da Faculdade de Medicina da Universidade Federal de Uberlândia,http://www.editais.ufu.br/node/3721,Programa PET,27/03/2017,Não Publ.
FAMAT - Nádia G. Biase - Tutora PET Estatística,Edital de Seleção 2017/01 de alunos para ingresso no PET-ESTATÍSTICA da FAMAT/UFU,http://www.editais.ufu.br/node/3719,Programa PET,24/03/2017,Não Publ.
ICBIM - Bernardino,Processo Seletivo para Estagiário - Edital 019/2017/ICBIM/UFU,http://www.editais.ufu.br/node/3716,Estágio UFU,21/03/2017,Não Publ.
DIPSA/DIRSU/PREFE - Eunir Augusto,Processo Seletivo para Estagiários - Edital 018/2017/DIPSA/DIRSU/PREFE,http://www.editais.ufu.br/node/3713,Estágio UFU,17/03/2017,Não Publ.
DIRSU/PREFE - Júlio César Costa,Edital 016/2017 para seleção de estagiários (as) para DIRSU/PREFE,http://www.editais.ufu.br/node/3709,Estágio UFU,16/03/2017,Não Publ.
FACIC/UFU - Tutora Profª. Drª. Denise Mendes da Silva,Edital de seleção 01/2017 - Turma 01/2017 - PET Ciências Contábeis/Universidade Federal de Uberlândia,http://www.editais.ufu.br/node/3707,Programa PET,15/03/2017,Não Publ.
Setor de Arquivo,Processo Seletivo para Estagiário (a) Edital 014/2017/Setor de Arquivo/UFU,http://www.editais.ufu.br/node/3702,Estágio UFU,13/03/2017,Não Publ.
THalents Consultoria em Recursos Humanos,Vaga para estágio para Programador Júnior,http://www.editais.ufu.br/node/3698,Estágio UFU,10/03/2017,Não Publ.
EDUFU,"Edital de Processo Seletivo para estágio - Edital 013/2017/EDUFU, para estudantes dos cursos de Letras e Tradução",http://www.editais.ufu.br/node/3697,Estágio UFU,07/03/2017,Não Publ.
DIRPA/PROGEP,"Edital de Processo Seletivo para estágio - Edital 012/2017/DIRPA/PROGEP, para estudantes de vários cursos",http://www.editais.ufu.br/node/3693,Estágio UFU,06/03/2017,Não Publ.
IE,"Edital de Processo Seletivo para estágio - Edital 011/2017/IE, para estudantes de vários cursos",http://www.editais.ufu.br/node/3689,Estágio UFU,02/03/2017,Não Publ.
ICBIM,Edital 001/2017 - Pós-graduação Latu sensu - Anatomia Humana aplicada ao Aparelho Locomotor,http://www.editais.ufu.br/node/3685,Mest./Dout./Especializ.,23/02/2017,Não Publ.
FAGEN,"Edital de Processo Seletivo para estágio - Edital 008/2017/FAGEN, para estudantes do curso de Jornalismo",http://www.editais.ufu.br/node/3679,Estágio UFU,22/02/2017,Não Publ.
FAMEV,"Edital de Processo Seletivo para estágio - Edital 007/2017/DIRIE, para estudantes de vários Cursos",http://www.editais.ufu.br/node/3678,Estágio UFU,21/02/2017,Não Publ.
FACED,Edital de Seleção 001/2017 – TURMA 01/2017 PET Conexões de Saberes Educomunicação,http://www.editais.ufu.br/node/3673,Programa PET,09/02/2017,Não Publ.
NUTESES,Processo Seletivo de Estágio UFU/NUTESES/005/2017 - para estudantes de Ed. Física,http://www.editais.ufu.br/node/3668,Estágio UFU,06/02/2017,Não Publ.
DIRIE/PREFE,"Edital de Processo Seletivo para estágio - Edital 004/2017/DIRIE, para estudantes do curso de Arquitetura e Urbanismo",http://www.editais.ufu.br/node/3663,Programa PET,05/02/2017,Não Publ.
PROGRAD,"Edital de Processo Seletivo para estágio - Edital 003/2017/PROGRAD, para estudantes de vários cursos",http://www.editais.ufu.br/node/3664,Estágio UFU,05/02/2017,Não Publ.
Programa de Pós-Graduação em Química,Edital de Seleção para Bolsa PNPD,http://www.editais.ufu.br/node/3662,Mest./Dout./Especializ.,02/02/2017,Não Publ.
COPSIA,Processo Seletivo para Estagiário - Edital 002/2017/COPSIA/UFU para estudantes do curso de Direito,http://www.editais.ufu.br/node/3654,Estágio UFU,30/01/2017,Não Publ.
Setor de Capacitação em Saúde/GDHS,"Processo Seletivo para estágio Não obrigatório - Com Bolsa Edital 001/2017 - Bioengenharia - Engenharia Civil, para alunos UFU do penúltimo e último período da Graduação em Engenharia Civil - UFU",http://www.editais.ufu.br/node/3655,Estágio UFU,30/01/2017,Não Publ.
CTI,"Edital de Processo Seletivo para estágio - Edital 001/2017/CTI, para estudantes de Vários Cursos",http://www.editais.ufu.br/node/3651,Estágio UFU,22/01/2017,Não Publ.
FAGEN,Processo Seletivo para estágio EDITAL PNAP/FAGEN/UFU - 001/2017,http://www.editais.ufu.br/node/3641,Estágio UFU,08/01/2017,Não Publ.
PGPSI,Processo Seletivo Simplificado para Bolsa de Pós-doutorado - PNPD/CAPES,http://www.editais.ufu.br/node/3637,Mest./Dout./Especializ.,18/12/2016,Não Publ.
Setor de Capacitação em Saúde/GDHS,Estágio não obrigatório - Medicina - Cirurgia Torácica /HCU - para alunos UFU do 8 ° período do Curso de Graduação em Medicina,http://www.editais.ufu.br/node/3619,Estágio UFU,17/11/2016,Não Publ.
FAMED/PPCSA,Edital de abertura das inscrições e do processo de seleção de alunos TURMA 2017/ano para ingresso ao Programa de Pós-Graduação em Ciências da Saúde (PPCSA),http://www.editais.ufu.br/node/3614,Mest./Dout./Especializ.,10/11/2016,Não Publ.
Programa de Pós-Graduação em Química,"Edital de Abertura das Inscrições e do Processo de Seleção para Ingresso no Primeiro Semestre de 2017 no Programa de Pós-Graduação em Química, Níveis Mestrado e Doutorado",http://www.editais.ufu.br/node/3611,Mest./Dout./Especializ.,09/11/2016,Não Publ.
Setor de Capacitação em Saúde/GDHS,"Processo Seletivo para estágio Não obrigatório - Com Bolsa - Edital 050.2016 CEPEPE/HCU para alunos UFU a partir do 5° período do Curso de Graduação em Enfermagem, para atuação no Setor CEPEPE do Hospital de Clínicas de Uberlândia/UFU",http://www.editais.ufu.br/node/3612,Estágio UFU,09/11/2016,Não Publ.
Setor de Capacitação em Saúde/GDHS,Processo Seletivo para estágio Não obrigatório,http://www.editais.ufu.br/node/3600,Estágio UFU,03/11/2016,Não Publ.
Setor de Capacitação em Saúde/GDHS,"Processo Seletivo para estágio obrigatório EDITAL 045.2016 - SERVIÇO SOCIAL - CAMPUS DO PONTAL – HCU/UFU, para alunos UFU do Curso de Graduação em Serviço Social nos períodos 4º ao 7º, para atuação no Ambulatório de Pediatria , Ambulatório Geral e Enferma",http://www.editais.ufu.br/node/3581,Estágio UFU,18/10/2016,Não Publ.
FAEFI/NUTESES,"Edital de Processo Seletivo para estágio - Edital 043/2016/FAEFI/Nuteses, para estudantes do curso de Educação Física",http://www.editais.ufu.br/node/3568,Estágio UFU,10/10/2016,Não Publ.
Setor de Capacitação em Saúde/GDHS,"Processo Seletivo para estágio Não obrigatório , para alunos UFU, a partir do 4° período em um dos cursos: Graduação em Computação, Sistema de Informação, Engenharia da Computação ou Gestão da Informação - UFU",http://www.editais.ufu.br/node/3569,Estágio UFU,10/10/2016,Não Publ.
GDHS/HC-UFU,"Processo Seletivo para estágio com Bolsa - GDHS/RH - PSICOLOGIA, para alunos UFU a partir do 8° período para atuação na Gestão de Desenvolvimento Humano em Saúde do Hospital de Clínicas",http://www.editais.ufu.br/node/3561,Estágio UFU,05/10/2016,Não Publ.
PROEX,Oportunidade Bolsa de Extensão para Ciências Contábeis e Comunicação Social,http://www.editais.ufu.br/node/3563,Estágio UFU,05/10/2016,Não Publ.
PROEX,"UFU PROEXC REDEPROFESSORES - Curso de Pós-Graduação Lato Sensu em Ensino de Língua Inglesa, Letramentos e Tecnologias na Educação Básica",http://www.editais.ufu.br/node/3559,Mest./Dout./Especializ.,04/10/2016,Não Publ.
PROGE,Edital 042/20162016/UFU/PROGE de Estágio,http://www.editais.ufu.br/node/3553,Estágio UFU,27/09/2016,Não Publ.
PIBID Pontal,Edital UFU/ DLICE/ PIBID Pontal/ 041/ 2016 - Processo Seletivo Para Estagiário (a),http://www.editais.ufu.br/node/3542,Estágio UFU,21/09/2016,Não Publ.
INGEB,"Edital de abertura das inscrições e do processo de seleção para ingresso ao Programa de Pós-graduação em Biotecnologia, Curso de Mestrado Acadêmico",http://www.editais.ufu.br/node/3541,Mest./Dout./Especializ.,20/09/2016,Não Publ.
Setor de Capacitação em Saúde/GDHS,"Processo Seletivo para estágio Não obrigatório - Com Bolsa Edital 042.2016 - DIPDE-FAEPU, para alunos matriculados a partir do 3º período dos cursos: Graduação em Administração ou Graduação em Ciências Contábeis (Noturno) na UFU para atuação na DIPDE Divi",http://www.editais.ufu.br/node/3536,Estágio UFU,16/09/2016,Não Publ.
CTI,Estágio para estudantes de vários cursos,http://www.editais.ufu.br/node/3534,Estágio UFU,15/09/2016,Não Publ.
PPLET,Edital N° 001/2016 de Seleção turma 2017-1 do Programa de Pós-graduação em Estudos Literários - Cursos de Mestrado e Doutorado.,http://www.editais.ufu.br/node/3504,Mest./Dout./Especializ.,01/09/2016,Não Publ.
ESEBA,Edital 005/2016 ESEBA/UFU para bolsas de estágio na área de Artes (Dança) da ESEBA,http://www.editais.ufu.br/node/3508,Estágio UFU,01/09/2016,Não Publ.
ESEBA,Edital 011/2016 ESEBA/UFU para bolsas de estágio na área Educação Especial e Psicologia Escolar da ESEBA,http://www.editais.ufu.br/node/3515,Estágio UFU,01/09/2016,Não Publ.
ESEBA,Edital 001/2016 ESEBA/UFU para bolsas de estágio na área de Educação Física na ESEBA UFU (somente alunos da UFU),http://www.editais.ufu.br/node/3497,Estágio UFU,30/08/2016,Não Publ.
ESEBA,Edital 004/2016 ESEBA/UFU para bolsas de estágio na área de Informática na ESEBA UFU (somente alunos da UFU),http://www.editais.ufu.br/node/3498,Estágio UFU,30/08/2016,Não Publ.
ESEBA,Edital 006/2016 ESEBA/UFU para bolsas de estágio na área Administrativa Gerencial da ESEBA UFU (somente alunos da UFU),http://www.editais.ufu.br/node/3499,Estágio UFU,30/08/2016,Não Publ.
ESEBA,"Edital 007/2016 ESEBA/UFU para bolsas de estágio na área Administrativa (Secretaria) da ESEBA, somente para alunos da UFU",http://www.editais.ufu.br/node/3500,Estágio UFU,30/08/2016,Não Publ.
ESEBA,Edital 008/2016 ESEBA/UFU para seleção de estagiário (bolsista) na área de Psicologia Escolar da ESEBA. Somente para alunos da UFU,http://www.editais.ufu.br/node/3501,Estágio UFU,30/08/2016,Não Publ.
ESEBA,Edital 009/2016 ESEBA/UFU para bolsas de estágio na área de Língua Portuguesa da ESEBA,http://www.editais.ufu.br/node/3502,Estágio UFU,30/08/2016,Não Publ.
ESEBA,Edital 010/2016 ESEBA/UFU para bolsas de estágio na área Administrativa(Assessoria Gerencial) da ESEBA,http://www.editais.ufu.br/node/3503,Estágio UFU,30/08/2016,Não Publ.
SISBI,Edital 038/2016/SISBI de Estágio para estudantes do curso de Tradução,http://www.editais.ufu.br/node/3489,Estágio UFU,29/08/2016,Não Publ.
DIRCO,Edital 036/2016/DIRCO de Estágio para estudantes de vários cursos,http://www.editais.ufu.br/node/3491,Estágio UFU,29/08/2016,Não Publ.
FACIC,Processo Seletivo Estágio 037/2016/FACIC para alunos de Ciênc. Contábeis,http://www.editais.ufu.br/node/3484,Estágio UFU,25/08/2016,Não Publ.
PGLET/ILEEL,Edital de Seleção do do Programa de pós-graduação em Estudos Literários - Cursos de Mestrado e Doutorado do Instituto de Letras e Linguística,http://www.editais.ufu.br/node/3470,Mest./Dout./Especializ.,17/08/2016,Não Publ.
FACED,Processo Seletivo Para Estagiário (A) - para atuação na Secretaria da Faculdade de Educação,http://www.editais.ufu.br/node/3464,Estágio UFU,16/08/2016,Não Publ.
ESEBA,"Edital de Processo Seletivo para estágio - Edital 030/2016/ESEBA, para estudantes de Vários Cursos",http://www.editais.ufu.br/node/3460,Estágio UFU,10/08/2016,Não Publ.
GDHS/Capacitação em Saúde,Edital de Processo Seletivo para estágio Não obrigatório - Com Bolsa Edital 031/2016 - Gestão de Processos do Hospital de Clínicas de Uberlândia/UFU,http://www.editais.ufu.br/node/3459,Estágio UFU,09/08/2016,Não Publ.
GDHS/Capacitação em Saúde,"Processo Seletivo para estágio Não obrigatório - Com Bolsa Edital 034/2016 -Clínica Cirurgia, para alunos do Curso de Graduação em Medicina (6º ou 7º período)",http://www.editais.ufu.br/node/3457,Estágio UFU,08/08/2016,Não Publ.
PROPP,"Edital de Processo Seletivo para estágio - Edital 028/PROPP/2016 , para estudantes dos cursos de Vários Cursos",http://www.editais.ufu.br/node/3440,Estágio UFU,01/08/2016,Não Publ.
FAGEN,"Edital de Processo Seletivo para estágio - Edital 027/FAGEN/2016, estudantes dos cursos de Jornalismo,Administração, Design e Gestão da Informação",http://www.editais.ufu.br/node/3430,Estágio UFU,15/07/2016,Não Publ.
ILEEL,"Edital de Processo Seletivo para estágio - Edital 025/ILEEL/2016 , para estudantes dos cursos de Vários Cursos",http://www.editais.ufu.br/node/3386,Estágio UFU,30/05/2016,Não Publ.
DIRPA/PROGEP,"Edital de Processo Seletivo para estágio - Edital 022/DIRPA/PROGEP/2016 , para estudantes dos cursos de Vários Cursos",http://www.editais.ufu.br/node/3379,Estágio UFU,25/05/2016,Não Publ.
DIRCO,Estágio na RTU para estudantes de Comunicação Social e Marketing,http://www.editais.ufu.br/node/3371,Estágio UFU,19/05/2016,Não Publ.
FACED,Processo Seletivo para estágio na FACED,http://www.editais.ufu.br/node/3370,Estágio UFU,18/05/2016,Não Publ.
Programa de Pós-Graduação em Química,"Edital De Abertura Das Inscrições E Do Processo De Seleção Para Ingresso No Segundo Semestre De 2016 No Programa De Pós-Graduação Em Química, Níveis Mestrado E Doutorado",http://www.editais.ufu.br/node/3360,Mest./Dout./Especializ.,13/05/2016,Não Publ.
CEPAE,Processo seletivo para seleção de estagiários (as),http://www.editais.ufu.br/node/3332,Estágio UFU,27/04/2016,Não Publ.
VICER/CTI,Processo seletivo para seleção de estagiários (as),http://www.editais.ufu.br/node/3333,Estágio UFU,27/04/2016,Não Publ.
DIRIE/PREFE,"Edital de Processo Seletivo para estágio - Edital 018/2016 DIRIE/PREFE, para estudantes dos cursos de Arquitet, Eng. Civil e Ciênc. da Comput.",http://www.editais.ufu.br/node/3318,Estágio UFU,13/04/2016,Não Publ.
DIRSU,"Edital de Processo Seletivo para estágio - Edital 017/2016 DIRSU/PREFE - cadastro reserva, para estudantes de vários cursos",http://www.editais.ufu.br/node/3308,Estágio UFU,05/04/2016,Não Publ.
GDHS/Capacitação em Saúde,"Edital 017/2016 - Processo Seletivo para estágio não obrigatório,Setor de Auditoria Interna, para alunos do curso de Grado em Enfermag, para atuação no setor de Auditoria Interna do Hospital de Clínicas de Uberlândia/UFU",http://www.editais.ufu.br/node/3305,Estágio UFU,04/04/2016,Não Publ.
FAMED,"Edital de Processo Seletivo para estágio - Edital 015/2016 FAMED, para estudantes de vários cursos",http://www.editais.ufu.br/node/3298,Estágio UFU,28/03/2016,Não Publ.
ESTES,"Processo seletivo de estagiário (a), para atuação no Laboratório do Curso Técnico em Saúde Bucal",http://www.editais.ufu.br/node/3290,Estágio UFU,22/03/2016,Não Publ.
CPG,Edital de Seleção para Bolsas PNPD - CPGQUIMICA,http://www.editais.ufu.br/node/3288,Mest./Dout./Especializ.,21/03/2016,Não Publ.
GDHS/Capacitação em Saúde,"Edital de Processo Seletivo para estágio - Edital 009/2016 GTI, para alunos do curso de Grad em Computação, Sistemas de Inform, Eng da Comput ou Gestão da Inf, para atuação no setor Gestão de Tecnologia da Informação do HC- UFU",http://www.editais.ufu.br/node/3281,Estágio UFU,16/03/2016,Não Publ.
DRII,"Edital de Processo Seletivo para estágio - Edital 011/2016 DRII, para estudantes de vários cursos",http://www.editais.ufu.br/node/3282,Estágio UFU,16/03/2016,Não Publ.
IPUFU,"Edital de Processo Seletivo para estágio - Edital 012/2016 IPUFU, para estudantes de Adminstr. e Contábeis",http://www.editais.ufu.br/node/3279,Estágio UFU,15/03/2016,Não Publ.
GDHS/Capacitação em Saúde,"Edital de Processo Seletivo para estágio não obrigatório -Edital 015/2016 - Cirurgia Plástica e Queimados - HCU/UFU, para alunos do curso de Grad. em Enfermagem, para atuação no setor Cirurgia Plástica e Queimados do Hospital de Clínicas de Uberlândi",http://www.editais.ufu.br/node/3277,Estágio UFU,11/03/2016,Não Publ.
GDHS/Capacitação em Saúde,"Edital de Processo Seletivo para estágio não obrigatório - Edital 011/2016 - HCU/UFU, para alunos do curso de Grad em Artes Visuais, Pedag ou Psicologia, para atuação na Câmara de Humanização de Humanização do Hospital de Clínicas de Uberlândia/UFU",http://www.editais.ufu.br/node/3274,Estágio UFU,10/03/2016,Não Publ.
GDHS/Capacitação em Saúde,"Processo Seletivo para estágio não obrigatório Edital 010/2016 Bioengenharia -Eng. Biomédica, para alunos do curso de Grad em Engenharia Biomédica da UFU, para atuação no Setor Bioengenharia do Hospital de Clínicas de Uberlândia/UFU",http://www.editais.ufu.br/node/3262,Estágio UFU,07/03/2016,Não Publ.
GDHS/Capacitação em Saúde,"Processo Seletivo para estágio não obrigatório Edital 003/2016 Pronto Socorro-Enfermagem, para alunos do curso de Grad em Enfermag da UFU, para atuação no Setor Pronto Socorro do Hospital de Clínicas de Uberlândia/UFU",http://www.editais.ufu.br/node/3256,Estágio UFU,04/03/2016,Não Publ.
